cell_type	replicate	cell	vae_2	nmf_6	cell_class
MONO1	2	MONO1_2	27.949416508716535	307.00624907591384	Monocyte
MONO1	3	MONO1_3	23.11780678295885	253.7750362351767	Monocyte
MONO1	4	MONO1_4	26.022700004586415	270.8819555410384	Monocyte
MONO2	1	MONO2_1	35.15142173442494	345.3135299857671	Monocyte
MONO2	2	MONO2_2	36.595793282006255	360.58966150882264	Monocyte
MONO2	3	MONO2_3	34.9948083119866	356.9581619108175	Monocyte
MONO2	4	MONO2_4	34.59530835643184	306.56432996064126	Monocyte
MONO2	5	MONO2_5	23.874816676126734	264.95954594609276	Monocyte
NKA1	1	NKA1_1	25.52188589278439	266.3411430274552	NK Cell
NKA1	2	NKA1_2	27.201534167607704	278.8254058119628	NK Cell
NKA1	4	NKA1_4	26.316386211355425	286.1332536604191	NK Cell
NKA1	5	NKA1_5	17.901857670807566	209.50695758332364	NK Cell
NKA2	1	NKA2_1	18.41294182393232	235.43198308562793	NK Cell
NKA2	2	NKA2_2	17.37675908610847	229.33543257895113	NK Cell
NKA2	3	NKA2_3	21.21865830552997	297.4316972376462	NK Cell
NKA2	4	NKA2_4	15.698455904757397	226.53520611498595	NK Cell
NKA2	5	NKA2_5	17.730250322989914	223.41593315622387	NK Cell
NKA3	1	NKA3_1	13.622365171692518	221.3618197215671	NK Cell
NKA3	2	NKA3_2	14.9583891787064	229.1835183292572	NK Cell
NKA3	3	NKA3_3	15.059689328044291	224.68892937878977	NK Cell
NKA3	4	NKA3_4	17.685271554729745	278.4906142557684	NK Cell
NKA3	5	NKA3_5	11.450187818729743	193.5960396714577	NK Cell
NKA4	2	NKA4_2	8.300056171626387	167.935443248204	NK Cell
NKA4	3	NKA4_3	31.447985237145627	327.8095484192788	NK Cell
NKA4	4	NKA4_4	15.951909831149145	225.06107052317302	NK Cell
NKA4	5	NKA4_5	6.513510405340048	146.17897956876104	NK Cell
PRE_BCELL2	BCELL2	PRE_BCELL2_1	7.5506092597598515	178.8730692900349	B Lymphoid Progenitor
PRE_BCELL2	BCELL2	PRE_BCELL2_3	8.302244321911722	191.40250812776665	B Lymphoid Progenitor
PRE_BCELL2	BCELL2	PRE_BCELL2_4	2.3650321575831015	153.872489492843	B Lymphoid Progenitor
PRE_BCELL2	BCELL2	PRE_BCELL2_6	13.108914999412109	216.22743193208353	B Lymphoid Progenitor
PRE_BCELL2	BCELL3	PRE_BCELL3_1	8.465663731403875	196.6084871844819	B Lymphoid Progenitor
PRE_BCELL2	BCELL3	PRE_BCELL3_3	7.371884743844425	192.44109324303946	B Lymphoid Progenitor
PRE_BCELL2	BCELL3	PRE_BCELL3_4	7.609475922592938	209.95599181335484	B Lymphoid Progenitor
PRE_BCELL2	BCELL3	PRE_BCELL3_5	4.599642223169129	162.12317856503185	B Lymphoid Progenitor
PRE_BCELL2	BCELL3	PRE_BCELL3_6	18.685974573976043	257.35076240069793	B Lymphoid Progenitor
TCELLA1	11	TCELLA1_11	11.449670322020003	192.50790442214387	Differentiated T Cell
TCELLA1	5	TCELLA1_5	21.09046228808082	284.58078058135914	Differentiated T Cell
TCELLA1	6	TCELLA1_6	18.165367479588227	308.5002803502647	Differentiated T Cell
TCELLA1	7	TCELLA1_7	19.73997654402259	282.31863851816684	Differentiated T Cell
TCELLA2	10	TCELLA2_10	12.026080836395927	251.04027864507077	Naive Lymphoid
TCELLA2	11	TCELLA2_11	12.617518511758954	241.4448983974566	Naive Lymphoid
