variable	pval	odds	full_feature	tailed
pDC_NOVERSHTERN_2	0.004104473317118758	534.3	vae_2_three	pos
B-cells_HPCA_2	0.004104473317118758	534.3	vae_2_three	pos
NKT_NOVERSHTERN_3	0.004104473317118758	534.3	vae_2_three	pos
Monocytes_IRIS_2	0.004104473317118758	534.3	vae_2_three	pos
Myocytes_FANTOM_3	0.004104473317118758	534.3	vae_2_three	pos
Monocytes_BLUEPRINT_1	0.004104473317118758	534.3	vae_2_three	pos
CD4+-Tem_HPCA_3	0.004104473317118758	534.3	vae_2_three	pos
aDC_IRIS_2	0.004198608935959936	0.1849139232860163	vae_2_three	neg
Monocytes_FANTOM_3	0.004207344525141614	0.18333910234221762	vae_1_two	neg
Astrocytes_ENCODE_3	0.004257447677714146	24.022883295194507	vae_1_three	pos
DC_HPCA_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
CLP_BLUEPRINT_1	0.004477188708870918	485.6363636363636	vae_2_three	pos
Basophils_NOVERSHTERN_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
Tregs_HPCA_3	0.004477188708870918	485.6363636363636	vae_2_three	pos
pDC_FANTOM_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
CD8+-T-cells_HPCA_1	0.004477188708870918	485.6363636363636	vae_2_three	pos
MEP_BLUEPRINT_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
Chondrocytes_HPCA_3	0.004477188708870918	485.6363636363636	vae_2_three	pos
CD8+-T-cells_NOVERSHTERN_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
CD4+-memory-T-cells_FANTOM_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
MSC_FANTOM_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
cDC_HPCA_3	0.004477188708870918	485.6363636363636	vae_2_three	pos
Endothelial-cells_FANTOM_2	0.004477188708870918	485.6363636363636	vae_2_three	pos
iDC_HPCA_1	0.004477188708870918	485.6363636363636	vae_2_three	pos
DC_HPCA_1	0.004477188708870918	485.6363636363636	vae_2_three	pos
Monocytes_HPCA_3	0.0045944352665623885	0.11920977636091387	vae_2_three	neg
mv-Endothelial-cells_ENCODE_3	0.0045944352665623885	0.11920977636091387	vae_2_three	neg
Fibroblasts_ENCODE_1	0.0045944352665623885	0.11920977636091387	vae_2_three	neg
CD4+-Tem_HPCA_1	0.004648332147424118	0.11652847660217797	vae_2_three	neg
CD4+-memory-T-cells_FANTOM_3	0.004776601374519352	0.1148052431840935	vae_2_three	neg
Keratinocytes_HPCA_1	0.004842974848407262	5.519991015274035	vae_1_two	neg
MEP_NOVERSHTERN_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
Endothelial-cells_HPCA_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Memory-B-cells_IRIS_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Erythrocytes_BLUEPRINT_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
cDC_NOVERSHTERN_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
Tregs_HPCA_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Erythrocytes_BLUEPRINT_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Melanocytes_ENCODE_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
ly-Endothelial-cells_HPCA_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Platelets_HPCA_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Chondrocytes_HPCA_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
cDC_HPCA_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
pDC_FANTOM_1	0.004849834342832125	445.0833333333333	vae_2_three	pos
Erythrocytes_BLUEPRINT_3	0.004849834342832125	445.0833333333333	vae_2_three	pos
Adipocytes_HPCA_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
CD8+-T-cells_FANTOM_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
CD4+-naive-T-cells_IRIS_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
B-cells_FANTOM_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
Erythrocytes_HPCA_2	0.004849834342832125	445.0833333333333	vae_2_three	pos
