algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
vae	486191	real	0.64	1862	36.7055	tcga	80	gph
vae	908341	real	0.66	1753	32.650999999999996	tcga	80	gph
vae	978124	real	0.74	1654	30.7249	tcga	80	gph
dae	165158	real	0.14	30	16.086	tcga	7	gph
dae	451283	real	0.1	16	14.9844	tcga	7	gph
dae	486191	real	0.1	27	16.0827	tcga	7	gph
dae	908341	real	0.08	23	14.4489	tcga	7	gph
dae	978124	real	0.16	34	15.8001	tcga	7	gph
ica	165158	real	0.24	65	22.4086	tcga	7	gph
ica	451283	real	0.24	56	22.1251	tcga	7	gph
ica	486191	real	0.24	52	22.0672	tcga	7	gph
