algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
dae	291359	real	0.010582010582010581	5	19.0199	tcga	2	signal	gpc6
dae	313363	real	0.021164021164021163	6	33.2069	tcga	2	signal	gpc6
dae	630060	real	0.010582010582010581	7	18.2686	tcga	2	signal	gpc6
dae	693066	real	0.021164021164021163	8	18.4375	tcga	2	signal	gpc6
dae	713701	real	0.021164021164021163	9	18.2661	tcga	2	signal	gpc6
ica	291359	real	0.021164021164021163	10	43.0731	tcga	2	signal	gpc6
ica	313363	real	0.021164021164021163	16	42.2149	tcga	2	signal	gpc6
ica	630060	real	0.021164021164021163	12	42.9075	tcga	2	signal	gpc6
ica	693066	real	0.021164021164021163	13	42.8739	tcga	2	signal	gpc6
ica	713701	real	0.021164021164021163	14	42.7667	tcga	2	signal	gpc6
nmf	291359	real	0.021164021164021163	20	21.0418	tcga	2	signal	gpc6
nmf	313363	real	0.021164021164021163	21	21.0418	tcga	2	signal	gpc6
nmf	630060	real	0.021164021164021163	22	21.0418	tcga	2	signal	gpc6
nmf	693066	real	0.021164021164021163	23	21.0418	tcga	2	signal	gpc6
nmf	713701	real	0.021164021164021163	24	21.0418	tcga	2	signal	gpc6
pca	291359	real	0.021164021164021163	30	31.6713	tcga	2	signal	gpc6
pca	313363	real	0.021164021164021163	31	31.6713	tcga	2	signal	gpc6
pca	630060	real	0.021164021164021163	32	31.6713	tcga	2	signal	gpc6
pca	693066	real	0.021164021164021163	33	31.6713	tcga	2	signal	gpc6
pca	713701	real	0.021164021164021163	34	31.6713	tcga	2	signal	gpc6
vae	291359	real	0.015873015873015872	45	48.618	tcga	2	signal	gpc6
vae	313363	real	0.015873015873015872	46	43.4439	tcga	2	signal	gpc6
vae	630060	real	0.015873015873015872	47	40.3075	tcga	2	signal	gpc6
vae	693066	real	0.015873015873015872	43	49.0582	tcga	2	signal	gpc6
vae	713701	real	0.015873015873015872	49	41.5248	tcga	2	signal	gpc6
dae	92657	real	0.042328042328042326	25	25.6648	tcga	10	signal	gpc6
